taxonid,fullname,currentAuthor,suggestedAuthor,source
3043,Donax trunculus,"C. Linnaeus, 1758","Linnaeus, 1758",Catalogue of Life
3044,Donax variabilis,"Say, 1822","Say, 1822",Catalogue of Life
3045,Donax veneriformis,"J.B.P.A. Lamarck, 1818","Lamarck, 1818",Catalogue of Life
3046,Donax vittatus,"da Costa, 1778","(da Costa, 1778)",Catalogue of Life
3049,Doriopsilla miniata,"(J. Alder & A. Hancock, 1864)","(Alder & Hancock, 1864)",Catalogue of Life
3050,Doris verrucosa,"C. Linnaeus, 1758","Linnaeus, 1758",Catalogue of Life
3051,Dorsanum moniliferum,"L.C. Kiener, 1834","(Kiener, 1834)",Catalogue of Life
3052,Dosinia anus,"(R.A. Philippi, 1848)","(Philippi, 1847)",Catalogue of Life
3053,Dosinia bilunulata,"(J.E. Gray, 1838)","(Gray, 1838)",Catalogue of Life
3054,Dosinia crocea,"G.P. Deshayes, 1853","Deshayes, 1853",Catalogue of Life
3055,Dosinia diana,"A. Adams & G.F. Angas, 1864","A. Adams & Angas, 1864",Catalogue of Life
3056,Dosinia discus,"Reeve, 1850","(Reeve, 1850)",Catalogue of Life
3057,Dosinia elegans,"(T.A. Conrad, 1843)","(Conrad, 1843)",Catalogue of Life
3058,Dosinia exoleta,"Linnaeus, 1758","(Linnaeus, 1758)",Catalogue of Life
3059,Dosinia hepatica,"(J.B.P.A. Lamarck, 1818)","(Lamarck, 1818)",Catalogue of Life
3063,Dosinia subrosea,"(J.E. Gray, 1835)","(Gray, 1835)",Catalogue of Life
3064,Dosinia tumida,"(J.E. Gray, 1838)","(Gray, 1838)",Catalogue of Life
3066,Drillia albonodulosa,"E.A. Smith, 1904","E. A. Smith, 1904",Catalogue of Life
3067,Drillia bairstowi,"G.B. III Sowerby, 1886","(G. B. Sowerby III, 1886)",Catalogue of Life
3068,Drillia burnupi,"G.B. III Sowerby, 1897","Drillia (Cerodrillia) burnupi (G. B. Sowerby III, 1897)",Catalogue of Life
3069,Drillia caffra,"(E.A. Smith, 1882)","(E. A. Smith, 1882)",Catalogue of Life
3070,Drillia diversa,"E.A. Smith, 1882","(E. A. Smith, 1882)",Catalogue of Life
3072,Drillia hottentota,"E.A. Smith, 1882","(E. A. Smith, 1882)",Catalogue of Life
