taxonid,fullname,Author
2082,Cardium costatum,"C. Linnaeus, 1758"
2091,Cardium magnum,"I. von Born, 1778"
2093,Cardium muricatum,"Linnaeus, 1758 †"
2103,Cardium rugosum,"J.B.P.A. Lamarck, 1819"
2105,Cardium serratum,"C. Linnaeus, 1758"
2108,Cardium tenuicostatum,"J.B.P.A. Lamarck, 1819"
2114,Casmaria turgida,"(L.A. Reeve, 1848)"
2116,Cassidula angulifera,"S.A.A. Petit De La Saussaye, 1841"
2117,Cassidula multiplicata,"E.C. Von Martens, 1865"
2118,Cassidula zonata,"H. Adams & A. Adams, 1855"
2120,Cassis cornuta,"Linnaeus, 1758"
2121,Cassis fimbriata,"(Quoy & Gaimard, 1833)"
2122,Cassis flammea,"Linnaeus, 1758"
2124,Cassis madagascariensis,"Lamarck, 1822"
2127,Cassis semigranosa,"J.B.P.A. Lamarck, 1822"
2128,Cassis tessellata,"(J.F. Gmelin, 1791)"
2129,Cassis tuberosa,"Linnaeus, 1758"
2131,Cavolinia gibbosa,"(D'Orbigny, 1834)"
2132,Cavolinia globulosa,"J.E. Gray, 1850"
2133,Cavolinia longirostris,"C.A. Lesueur in H.M.D. de Blainville, 1821"
2134,Cavolinia tridentata,"(P. Forsskål in C. Niebuhr, 1775)"
2136,Cavolinia uncinata,"D'Orbigny, 1834"
2138,Cecilioides pergracilis,M. Connolly
2141,Cellana denticulata,"(T. Martyn, 1784)"
2142,Lottia dorsuosa,"(Gould, 1859)"
2143,Cellana eucosmia,"(H.A. Pilsbry, 1892)"
2144,Cellana flava,"(F.W. Hutton, 1873)"
2145,Cellana grata,"(A.A. Gould, 1859)"
2147,Cellana nigrolineata,"(L.A. Reeve, 1854)"
2148,Cellana ornata,"(L.W. Dillwyn, 1817)"
2149,Cellana radians,"(J.F. Gmelin, 1791)"
2150,Cellana radiata,"(I. von Born, 1778)"
2152,Cellana rubraurantiaca,"H.M.D. de Blainville, 1825"
2153,Cellana stellifera,"(J.F. Gmelin, 1791)"
2154,Cellana strigilis,"(J.B. Hombron & C.H. Jacquinot, 1841)"
2155,Cellana testudinaria,"(C. Linnaeus, 1758)"
2156,Cellana toreuma,"(L.A. Reeve, 1854)"
2157,Cellana tramoserica,"Holten, 1802"
2158,Cepaea nemoralis,(C. Linnaeus)
2160,Cerastoderma edule,"M.E.J. Bucquoy, P. Dautzenberg & G.F. Dollfus, 1892"
2162,Cerion christophei,"W.J. Clench, 1937"
2165,Cerion incanum,"W.G. Binney, 1851"
2166,Cerion infandum,"(R.J. Shuttleworth in F. Poey, 1858)"
2170,Cerion mumiola,"(L. Pfeiffer, 1839)"
2171,Cerion russelli,"W.J. Clench, 1938"
2173,Cerion watlingense,"W.H. Dall, 1907"
2174,Cerithidea albonodosa,"A.A. Gould & P.P. Carpenter, 1857"
2175,Cerithidea californica,"(S.S. Haldeman, 1840)"
2176,Cerithidea decollata,"Linnaeus, 1767"
2177,Cerithidea fortunei,"A. Adams, 1854"
2178,Cerithidea mazatlanica,"H.F. Carpenter, 1857"
2179,Cerithidea montagnei,"d'Orbigny, 1841"
2181,Cerithidea ornata,"A. Adams, 1863"
2182,Cerithidea pliculosa,"(K.T. Menke, 1829)"
2183,Cerithidea scalariformis,"(T. Say, 1825)"
2184,Cerithidea valida,"Adams, 1852"
2186,Cerithiopsis exquisita,"G.B. III Sowerby, 1897"
2187,Cerithiopsis foveolata,"(G.B. III Sowerby, 1892)"
2189,Cerithium adustum,"G.B. Sowerby, 1855"
2192,Cerithium aluco,"I. von Born, 1780"
2193,Cerithium alveolus,"J.B. Hombron & C.H. Jacquinot, 1854"
2195,Cerithium asperum,"Bruguiere, 1792"
2196,Cerithium atratum,"Born, 1778"
2198,Cerithium caeruleum,"G.B. II Sowerby, 1855"
2200,Cerithium citrinum,"Sowerby, 1855"
2201,Cerithium columna,"G.B. I Sowerby, 1834"
2203,Cerithium crassilabrum,"C.F.F. von Krauss, 1848"
2204,Cerithium dialeucum,"R.A. Philippi, 1849"
2205,Cerithium dorsuosum,"A. Adams, 1855"
2206,Cerithium eburneum,"Bruguiere, 1792 †"
2207,Cerithium echinatum,"W.H. Pease, 1869"
2208,Cerithium floridanum,"Born, 1778"
2213,Cerithium menkei,"P.P. Carpenter, 1857"
2215,Cerithium morus,"J.G. Bruguière, 1792"
2217,Cerithium nodulosum,"J.B.P.A. Lamarck, 1822"
2218,Cerithium novaehollandiae,"Adams, 1855"
2219,Cerithium pfefferi,"R.W. Dunker, 1882"
2220,Cerithium pingue,"A. Adams, 1855"
2221,Cerithium rostratum,"Sowerby, 1855 †"
2222,Cerithium rupestre,"A. Risso, 1826"
2224,Cerithium splendens,"G.B. II Sowerby, 1855"
2225,Cerithium stercusmuscarum,"Valenciennes, 1833 †"
2227,Cerithium traillii,"Sowerby, 1855"
2228,Cerithium tuberculatum,"(C. Linnaeus, 1767)"
2230,Cerithium variegatum,"J.R.C. Quoy & J.P. Gaimard, 1834"
2232,Cerithium vulgatum,"Bruguière, 1789"
2233,Cerithium zonale,"J.R.C. Quoy & J.P. Gaimard, 1834"
2234,Chaetopleura papilio,"(L. Spengler, 1797)"
