taxonid,fullname,Author,source
2415,Clithon oualaniensis,"Clithon (Pictoneritina) oualaniensis (Lesson, 1831)",Catalogue of Life
2416,Clivipollia fragaria,"(W. Wood, 1828)",Catalogue of Life
2417,Closia algoensis,,
2418,Closia aphanospira,,
2419,Closia ovuliformis,,
2421,Clypeomorus moniliferus,"(Kiener, 1841)",Catalogue of Life
2428,Cochlitoma bandeirana,,
2429,Cochlitoma damarensis,,
2430,Cochlitoma dimidiata,"(E. A. Smith, 1878)",Catalogue of Life
2431,Cochlitoma fulica,,
2432,Cochlitoma granularis,,
2433,Cochlitoma immaculata,,
2434,Cochlitoma kilburni,"Mead, 2004",Catalogue of Life
2435,Cochlitoma limitanea,"(van Bruggen, 1984)",Catalogue of Life
2436,Cochlitoma machachensis,"(E. A. Smith, 1902)",Catalogue of Life
2437,Cochlitoma semidecussata,"(L. Pfeiffer, 1846)",Catalogue of Life
2438,Cochlitoma semigranosa,"(L. Pfeiffer, 1861)",Catalogue of Life
2439,Cochlitoma ustulata,"(Lamarck, 1822)",Catalogue of Life
2441,Cochlitoma vestita,"(L. Pfeiffer, 1855)",Catalogue of Life
2442,Cochlitoma wigleyi,"Mead, 2004",Catalogue of Life
2444,Codakia californica,"(Conrad, 1837)",ITIS
2445,Codakia divergens,"(Philippi, 1850)",Catalogue of Life
2447,Codakia myifera,,
2452,Codakia similis,,
2453,Codakia simplex,"(Reeve, 1850)",Catalogue of Life
2454,Codakia tigrina,[sic],Catalogue of Life
2460,Colina pingue,,
2465,Colubraria alfredensis,"Bartsch, 1915",Catalogue of Life
2474,Columbarium eastwoodae,"Kilburn, 1971",Catalogue of Life
2477,Columbarium radiale,,
2478,Columbarium rotundum,"Barnard, 1959",Catalogue of Life
2479,Columbella albuginosa,"Reeve, 1859",Catalogue of Life
2480,Columbella algoensis,"G. B. Sowerby III, 1892",Catalogue of Life
2485,Columbella brunnescens,"Thiele, 1925",Catalogue of Life
2486,Columbella choava,"Reeve, 1859",Catalogue of Life
2489,Columbella floccata,"Reeve, 1859",Catalogue of Life
2491,Columbella kraussi,[sic],Catalogue of Life
2493,Columbella lincolnensis,"Reeve, 1859",Catalogue of Life
2501,Columbella semiconvexa,,
2503,Columbella speciosa,"Angas, 1877",Catalogue of Life
2510,Columbella zebrina,,
2516,Cominella alveolata,,
2522,Cominella kingicola,,
2531,Comus platyaulax,"(Tomlin, 1924)",Catalogue of Life
2534,Conus abbreviatus,"Reeve, 1843",Catalogue of Life
2535,Conus achatinus,"Gmelin, 1791",Catalogue of Life
2536,Conus acutangulus,"Lamarck, 1810",Catalogue of Life
2537,Conus aemulus,"Reeve, 1844",Catalogue of Life
2538,Conus algoensis,"G. B. Sowerby I, 1834",Catalogue of Life
2539,Conus amadis,"Gmelin, 1791",Catalogue of Life
2540,Conus anemone,"Lamarck, 1810",Catalogue of Life
2547,Conus bairstowi,"G. B. Sowerby III, 1889",Catalogue of Life
2548,Conus betulinus,"Linnaeus, 1758",Catalogue of Life
2549,Conus biliosus,"(Röding, 1798)",Catalogue of Life
2550,Conus brianhayesi,"Korn, 2001",Catalogue of Life
2551,Conus brunneus,"W. Wood, 1828",Catalogue of Life
2552,Conus californicus,"Reeve, 1844",Catalogue of Life
2554,Conus capitaneus,"Linnaeus, 1758",Catalogue of Life
2555,Conus caputserpentis,,
2556,Conus catus,"Hwass in Bruguière, 1792",Catalogue of Life
2559,Conus cyanostoma,"A. Adams, 1854",Catalogue of Life
2560,Conus distans,"Hwass in Bruguière, 1792",Catalogue of Life
2561,Conus ebraeus,"Linnaeus, 1758",Catalogue of Life
2563,Conus ermineus,"Born, 1778",Catalogue of Life
2564,Conus eucoronatus,"G. B. Sowerby III, 1903",Catalogue of Life
2565,Conus figulinus,"Linnaeus, 1758",Catalogue of Life
2566,Conus flavidus,"Lamarck, 1810",Catalogue of Life
2567,Conus floridanus,"Gabb, 1868",ITIS
2568,Conus frigidus,"Reeve, 1848",Catalogue of Life
2569,Conus fulmen,"Reeve, 1843",Catalogue of Life
2570,Conus furvus,"Reeve, 1843",Catalogue of Life
2571,Conus generalis,"Linnaeus, 1767",Catalogue of Life
2572,Conus geographus,"Linnaeus, 1758",Catalogue of Life
2573,Conus gladiator,"Broderip, 1833",Catalogue of Life
2574,Conus glans,"Hwass in Bruguière, 1792",Catalogue of Life
2576,Conus gradatulus,"Weinkauff, 1875",Catalogue of Life
2577,Conus gubernator,"Hwass in Bruguière, 1792",Catalogue of Life
2578,Conus immelmani,"Korn, 1998",Catalogue of Life
2579,Conus imperialis,"Linnaeus, 1758",Catalogue of Life
2580,Conus infrenatus,"Reeve, 1848",Catalogue of Life
2581,Conus iodostoma,"Reeve, 1843",Catalogue of Life
